ID,SMILES
hop_27,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](C3)/C(=N\O)Nc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C1C/C(=N\O)Nc(c12)cccc2
hop_28,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3NC4=O)N(C[C@H]56)C[C@H](N6)CC5)c(c3[C@H]47)CC[C@@H]7c8cc(O)cc(c89)ccc(F)c9C#C St 1 from c12c3cccc2CCC[C@H]1C(=O)N3
hop_29,C#Cc1c(F)ccc(c12)cc(O)cc2CC(NC(=O)N3)=C([C@H]34)C[C@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from CC=1NC(=O)N[C@@H](C12)CCCC2
hop_30,C1[C@@H](F)CN(CCC2)[C@]12COc(nc([nH+]3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)[nH]nc6Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc1n[nH]c(c12)cnc[nH+]2
hop_31,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 3 from N#Cc1nc(C)n(c12)cccc2
hop_32,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(no3)c(c34)cc(c(Cl)c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1noc(c12)cc(Cl)cc2
hop_33,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c[nH]3)c(c34)c(C#N)c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from N#Cc1cccc(c12)[nH]cc2C
hop_34,C1[C@@H](F)CN(CCC2)[C@]12COc(c(C#CC)c3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)C[C@@H](CC6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC#Cc(c1)ccc(c12)CCCC2
hop_35,C1[C@@H](F)CN(CCC2)[C@]12COC[C@]3(C)C(CC(=O)N(C[C@H]45)C[C@H](N5)CC4)=C(CCC3)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1CCC(C)=CC1(C)C
hop_36,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)[nH+]c(c36)[C@H](O)C[C@H](CC6)C(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cc[nH+]c(c12)[C@H](O)CCCC2
hop_37,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)c(c(=O)[nH]3)NS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from O=c1cc[nH+]c[nH]1
hop_38,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)Cc3cc(N(C[C@H]45)C[C@H](N5)CC4)o[n+]3C(=O)OC[C@@]67N(C[C@H](F)C6)CCC7 St 1 from Cc1cco[nH+]1
hop_39,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3c(N)ncc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)c([NH3+])c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1c(N)ncc(c12)cc([NH3+])cc2
hop_40,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)c([O-])n(c3=O)CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cn1c(=O)cccc1[O-]
hop_41,C1[C@@H](F)CN(CCC2)[C@]12COc(nc3N(C[C@H]45)C[C@H](N5)CC4)[nH+]nc3CS(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1cnc[nH+]n1
hop_42,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c([nH+]c3N(C[C@H]45)C[C@H](N5)CC4)n(c36)c(c(s6)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from Cc(s1)c(C)n(c12)c[nH+]c2
hop_43,C1[C@@H](F)CN(CCC2)[C@]12COc(c3)cc(N(C[C@H]45)C[C@H](N5)CC4)c(c36)oc(C#N)c6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1c(C#N)oc(c12)cccc2
hop_44,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc(C)n3C)c(c34)c(=O)c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cc(C)n(C)c(c12)cccc2=O
hop_45,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3coc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4N)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1coc(c12)cccc2N
hop_46,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c(c3)c(N(C[C@H]45)C[C@H](N5)CC4)cn(c36)c(nc6C#N)Cc7cc(O)cc(c78)ccc(F)c8C#C St 2 from N#Cc1nc(C)n(c12)cccc2
hop_47,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)[C@H]([NH2+][C@@H]3C)COc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)cc(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C[C@H]1[NH2+]CCOc(c12)cccc2
hop_48,C1[C@@H](F)CN(CCC2)[C@]12COc(cc([nH+]3)N(C[C@H]45)C[C@H](N5)CC4)cc3CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from c1cc[nH+]cc1
hop_49,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3)nc(c34)c(N(C[C@H]56)C[C@H](N6)CC5)n(n4)C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc(n1)ccc(c12)n[nH]c2
hop_50,C1[C@@H](F)CN(CCC2)[C@]12COc(cc3N(C[C@H]45)C[C@H](N5)CC4)cc(c36)[C@H](OC6(C)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from CC1(C)O[C@@H](C)c(c12)cccc2
hop_51,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3C)n(c34)nc(cc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from Cc1cc(C)n(c12)nccc2
