ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_403,CC(C)c1ccc(O)cc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,1.9,2881.0,,0.6418591493164392,7.965892738555545,-12.71542,-1.07662,0.34132,0.8385,7.76523,0.045
us_404,COC1(CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1)OC,,60.8,8331.6,,4.107589953445792,9.027810794747477,-13.24156,-1.38841,0.27127,0.71503,8.01113,0.12441
us_405,CN(C)C(=O)OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,2.2,297.0,,0.7884619058084852,5.693732172472733,-11.97156,-1.32878,0.81859,0.65515,8.04696,0.144
us_407,CC(C)(F)c1ccccc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,560.0,,,6.327936801586337,,-11.97577,-0.9345,0.46826,0.65554,7.77802,0.07069
us_408,CNC(=O)OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,3.1,238.0,,1.1314053372923492,5.47227071568828,-12.59941,-1.19087,0.41392,0.72592,8.09722,0.15707
us_409,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2ccccc2C#N)C1,,2231.4,,,7.710384474640571,,-11.33175,-0.91525,0.93046,0.37667,7.18225,0.36477
us_410,CO[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3cccc(C#C)c23)C1,,1.0,8.0,,9.999950000398841e-06,2.0794427916790545,-13.94939,-1.29401,0.45689,0.82548,8.05336,0.01205
us_411,COC(=O)NC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,17.0,745.3,,2.8332139322913372,6.6137868353050635,-12.14571,-1.36796,0.90982,0.63506,7.98856,0.2411
us_412,CN(C)C(=O)NC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,17.7,4779.3,,2.873565204551375,8.472049373339315,-10.96178,-1.15719,0.71801,0.53575,8.18076,0.14314
us_413,CC(=O)NC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,9.2,2156.3,,2.2192045710109256,7.6761490735541935,-12.94249,-1.37824,0.53258,0.76298,8.11129,0.11928
