Index,Example,IUPAC,SMILES
32,32,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(octahydro- 1 H-cyclopenta[b]py ridin- 1 -y l)py rido [4,3 -d] pyrimidine",FC1=C(N=CC2=C1N=C(N=C2N2C1C(CCC2)CCC1)OCC12CCCN2CCC1)C1=CC=CC2=CC=CC(=C12)F
33,33,"(3R,5S)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5-methylpiperidin-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2C[C@@H](C[C@@H](C2)C)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
34,34,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-N-(imidazo[l,2-a]pyrazin-3-yl)-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine",Did not work
35,35,"4-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-4-methylpyrrolidin-2-one",FC1=C(N=CC2=C1N=C(N=C2NCC2(CC(NC2)=O)C)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
36,36,"7-(7-(8-ethynyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",C(#C)C=1C(=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CC(NC2)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)F)F
37,37,"7-(7-(8-ethyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",C(C)C=1C(=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CC(NC2)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)F)F
38,38,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R, 7aS))-2-fluorohexahydro-17/-pyrrolizin-7a-yl)methoxy)pyrido [4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",Did not work
39,39,"1-(7-(2-amino-5,6-dimethylbenzo[d]thiazol-4-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",NC=1SC2=C(N1)C(=C(C(=C2)C)C)C2=C(C=1N=C(N=C(C1C=N2)N2CC(CCC2)(O)C)OC[C@]21CCCN1C[C@@H](C2)F)F
40,40,"1-(7-(2-amino-5,6-dimethylbenzo[d]thiazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",NC=1SC2=C(N1)C(=C(C(=C2)C)C)C2=C(C=1N=C(N=C(C1C=N2)N2CC(CCC2)(O)C)OCC21CCCN1CCC2)F
41,41,"4-(azocan-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)mcthoxy)pyrido[4,3-d]pyrimidine",Did not work
42,42,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]py rimidin-4-yl)- 1 ,4-oxazepane",FC1=C(N=CC2=C1N=C(N=C2N2CCOCCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
43,43,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-y 1)- 1 ,4-thiazepane",Did not work
44,44,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)azepan-3-ol",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCCC2)O)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
45,45,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)- 1 ,3,7-triazaspiro[4.5]decan-2-one.",Did not work
46,46,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-7-azaspiro[4.5]decan-2-one.",Did not work
47,47,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-l//-pyrrolizin-7a-yl)methnxy)pyrido[4,3- d]pyrimidin-4-yl)-7-azaspiro[4.5]decan-2-ol",Did not work
48,48,"8-fluoro-4-(2-fluoro-7-azaspiro[4.5]decan-7-yl)-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",FC1=C(N=CC2=C1N=C(N=C2N2CC1(CCC(C1)F)CCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
49,49,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)morpholine",FC1=C(N=CC2=C1N=C(N=C2N2CCOCC2)OCC21CCCN1CCC2)C2=CC=CC1=CC=CC(=C21)F
50,50,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-y1)thiomorpholine",Did not work
51,51,"(R)- 1-(7r(8-ethynyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",Did not work
52,52,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (((l-hydroxycyclohexyl)methyl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Did not work
53,53,"4-(3,3-dimethyIpiperidin- 1 -y l)-8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((hexahydro- 1 H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
