Unnamed: 0,Example,IUPAC,SMILES
27,27,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC(O)C7)c12
28,28,"5-ethyl-6-fluoro-4-(2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-(methylsulfonyl)azepan-1-yl)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)naphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCCC(C7)[S](C)(=O)=O)c12
29,29,"4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCOCC(O)C7)c12
30,30,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-4-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC(O)CC7)c12
31,31,"4-(4-(([1,2,4]triazolo[4,3-a]pyridin-6-ylmethyl)amino)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-ethyl-6-fluoronaphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4NCc7ccc8nncn8c7)c12
32,32,"3-(difluoromethyl)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC(O)(C7)C(F)F)c12
33,33,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-(hydroxymethyl)azepan-4-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCC(O)C(CO)CC7)c12
34,34,"5-ethyl-6-fluoro-4-(2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(2-(hydroxymethyl)-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)naphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(CO)cc8C7)c12
35,35,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CC8CC(O)CC7C8)c12
36,36,"5-ethyl-6-fluoro-4-(2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-4-(3-(methylsulfonyl)azocan-1-yl)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)naphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCCCC(C7)[S](C)(=O)=O)c12
37,37,"(4-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepan-6-yl)methanol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCOCC(CO)C7)c12
38,38,"(1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-3-yl)methanol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCCC(CO)C7)c12
39,39,"N-([1,2,4]triazolo[4,3-a]pyridin-6-ylmethyl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4NCc7ccc8nncn8c7)c12
40,40,"N-((2-aminopyridin-3-yl)methyl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4NCc7cccnc7N)c12
41,41,"6-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CC8CC(O)CC7C8)c12
42,42,"7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-(methylsulfonyl)azepan-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCCC(C7)[S](C)(=O)=O)c12
43,43,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCC(O)C7)c12
44,44,"3-(difluoromethyl)-1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)piperidin-3-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCC(O)(C7)C(F)F)c12
45,45,"N-((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)-7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-amine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4NCc7c[nH]c8ncccc78)c12
46,46,"5-(1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)pyrrolidin-3-yl)-1H-pyrazol-4-amine",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCC(C7)c8[nH]ncc8N)c12
47,47,"4-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,4-oxazepane",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCOCC7)c12
48,48,"1-(7-(8-ethylnaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)azepan-3-ol",CCc1cccc2cccc(N3CCc4c(C3)nc(OCC56CCCN5CCC6)nc4N7CCCCC(O)C7)c12
