Unnamed: 0,Example,IUPAC,SMILES
186,186,"(3R,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-hydroxypiperidine-3-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7C[C@H](O)C[C@H](C7)C(N)=O)c12
187,187,"(3S,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5-hydroxypiperidine-3-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7C[C@H](O)C[C@@H](C7)C(N)=O)c12
188,188,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N-isopropyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(cc8C7)C(=O)NC(C)C)c12
189,189,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N,3-trimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(c(C)c8C7)C(=O)N(C)C)c12
190,190,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-fluoro-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(c(F)c8C7)C(=O)N(C)C)c12
191,191,"(5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)(pyrrolidin-1-yl)methanone",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(cc8C7)C(=O)N9CCCC9)c12
192,192,"3-chloro-5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(c(Cl)c8C7)C(=O)N(C)C)c12
193,193,"(5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepin-2-yl)(morpholino)methanone",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCn8nc(cc8C7)C(=O)N9CCOCC9)c12
194,194,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydropyrazolo[4,3-c]azepine-2(4H)-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCc8nn(cc8C7)C(=O)N(C)C)c12
195,195,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N-isopropyl-5,6,7,8-tetrahydropyrazolo[4,3-c]azepine-2(4H)-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCc8nn(cc8C7)C(=O)NC(C)C)c12
196,196,"(R)-7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCC[C@]8(C7)NC(=O)NC8=O)c12
197,197,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC8(CNC(=O)C8)C7)c12
198,198,"5-[7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-N,N-dimethyl-4,6,7,8-tetrahydropyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OC[C@@H]5CCCN5C)nc4N6CCCn7nc(cc7C6)C(=O)N(C)C)c12
199,199,"(R)-1-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OCC5(CC5)CN(C)C)nc4N6CCC[C@@](C)(O)C6)c12
200,200,"(3aS,6aR)-5-[2-[[1-[(dimethylamino)methyl]cyclopropyl]methoxy]-7-(8-ethyl-7-fluoro-3-hydroxy-1-naphthyl)-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-3a,4,6,6a-tetrahydropyrrolo[3,4-c]pyrrole-1,3-dione",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OCC5(CC5)CN(C)C)nc4N6C[C@H]7[C@@H](C6)C(=O)NC7=O)c12
201,201,"7-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OCC5(CC5)CN(C)C)nc4N6CCCC7(C6)NC(=O)NC7=O)c12
202,202,"7-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2-thia-1,3,7-triazaspiro[4.5]decane 2,2-dioxide",Did not work
203,203,"5-(2-((1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CCc1c(F)ccc2cc(O)cc(N3CCc4c(C3)nc(OCC5(CC5)CN(C)C)nc4N6CCCn7nc(cc7C6)C(=O)N(C)C)c12
204,204,"(R)-1-(7-(3-chloro-2-cyclopropyl-5-hydroxyphenyl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C[C@@]1(O)CCCN(C1)c2nc(OCC34CCCN3CCC4)nc5CN(CCc25)c6cc(O)cc(Cl)c6C7CC7
205,205,"4-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-6-methyl-1,4-oxazepan-6-ol",CN1CCC[C@H]1COc2nc3CN(CCc3c(n2)N4CCOCC(C)(O)C4)c5cccc6cccc(Cl)c56
206,206,"(3aS,6aR)-5-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-3a,4,6,6a-tetrahydropyrrolo[3,4-c]pyrrole-1,3-dione",CN1CCC[C@H]1COc2nc3CN(CCc3c(n2)N4C[C@H]5[C@@H](C4)C(=O)NC5=O)c6cccc7cccc(Cl)c67
207,207,"8-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-1,8-diazaspiro[3.5]nonan-2-one",CN1CCC[C@H]1COc2nc3CN(CCc3c(n2)N4CCCC5(C4)CC(=O)N5)c6cccc7cccc(Cl)c67
208,208,"9-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-2λ6-thia-1,3,9-triazaspiro[4.5]decane 2,2-dioxide",Did not work
209,209,"(S)-5-(7-(8-chloronaphthalen-1-yl)-2-((1-methylpyrrolidin-2-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CN(C)C(=O)c1cc2CN(CCCn2n1)c3nc(OC[C@@H]4CCCN4C)nc5CN(CCc35)c6cccc7cccc(Cl)c67
210,210,"7-(7-(8-chloronaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one",CN1CCC[C@H]1COc2nc3CN(CCc3c(n2)N4CCCC5(CNC(=O)N5)C4)c6cccc7cccc(Cl)c67
211,211,"9-[7-(8-chloro-1-naphthyl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-1,3,9-triazaspiro[4.5]decane-2,4-dione",CN1CCC[C@H]1COc2nc3CN(CCc3c(n2)N4CCCC5(C4)NC(=O)NC5=O)c6cccc7cccc(Cl)c67
212,212,"4-(4-(2-amino-7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-bromo-6-fluoronaphthalen-2-ol",Nc1cc2CN(CCCn2n1)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Br)c78
213,213_214,"6-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",OC1CC2CC(C1)N(C2)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Br)c78
214,214,,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
215,215,"3-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol",OC1CC2CC1CN(C2)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Br)c78
216,216,"7-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one",Oc1cc2ccc(F)c(Br)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC8(CNC(=O)N8)C7
217,217,"7-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione",Oc1cc2ccc(F)c(Br)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC8(C7)NC(=O)NC8=O
218,218,"5-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CN(C)C(=O)c1cc2CN(CCCn2n1)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Br)c78
219,219,"4-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol",CC1(O)COCCN(C1)c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc5CN(CCc25)c6cc(O)cc7ccc(F)c(Br)c67
220,220,"5-bromo-6-fluoro-4-(2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(6-(hydroxymethyl)-1,4-oxazepan-4-yl)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)naphthalen-2-ol",OCC1COCCN(C1)c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc5CN(CCc25)c6cc(O)cc7ccc(F)c(Br)c67
221,221,"4-(4-(6-(1H-pyrazol-1-yl)-1,4-oxazepan-4-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,8-dihydropyrido[3,4-d]pyrimidin-7(6H)-yl)-5-bromo-6-fluoronaphthalen-2-ol",Oc1cc2ccc(F)c(Br)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCOCC(C7)n8cccn8
222,222,"(R)-1-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C[C@@]1(O)CCCN(C1)c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc5CN(CCc25)c6cc(O)cc7ccc(F)c(Br)c67
223,223,"6-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one",Oc1cc2ccc(F)c(Br)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC8(C7)CC(=O)N8
224,224,"6-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-6-azaspiro[3.5]nonan-2-ol",OC1CC2(CCCN(C2)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Br)c78)C1
225,225,"7-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2-thia-1,3,7-triazaspiro[4.5]decane 2,2-dioxide",Did not work
226,226,"5-(7-(8-bromo-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",Oc1cc2ccc(F)c(Br)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CC8C(C7)C(=O)NC8=O
227,227,"3-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol",OC1CC2CC1CN(C2)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Cl)c78
228,228,"7-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one",Oc1cc2ccc(F)c(Cl)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC8(CNC(=O)N8)C7
229,229,"5-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5-a][1,4]diazepine-2-carboxamide",CN(C)C(=O)c1cc2CN(CCCn2n1)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc6CN(CCc36)c7cc(O)cc8ccc(F)c(Cl)c78
230,230,"4-(4-(6-(1H-pyrazol-1-yl)-1,4-oxazepan-4-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6-dihydropyrido[3,4-d]pyrimidin-7(8H)-yl)-5-chloro-6-fluoronaphthalen-2-ol",Oc1cc2ccc(F)c(Cl)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCOCC(C7)n8cccn8
231,231,"6-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)-2,6-diazaspiro[3.5]nonan-1-one",Oc1cc2ccc(F)c(Cl)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CCCC8(CNC8=O)C7
232,232,"5-(7-(8-chloro-7-fluoro-3-hydroxynaphthalen-1-yl)-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-5,6,7,8-tetrahydropyrido[3,4-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione",Oc1cc2ccc(F)c(Cl)c2c(c1)N3CCc4c(C3)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N7CC8C(C7)C(=O)NC8=O
