Index,Example,IUPAC
219,219,"-fluoro-7-(8-fluoronaphthalen-1-yl)-N-(2-(isoxazol-4-yl)ethyl)-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
220,220,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2-oxa-6-azaspiro[3.5]nonane"
221,221,"1 -( 1 -(8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((tetrahydro- 1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanesulfonamide"
222,222,"N-((6,7-dihydro-5H-pyrazolo[5,l-b][l,3]oxazin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1- yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H) yl)methoxy)pyrido[4,3-d]pyrimidin-4-aminc"
223,223,"N-((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-]-N-methyl-2- ((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
224,224,"8-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-oxa-1,8-diazaspiro[4.5]decan-2-one"
225,225,"3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)propanamide"
226,226,"3-((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)(methyl)amino)propanamide"
227,227,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrim.idin-4-yl)=3-oxa-1,7-diazaspiro[ 1.5]decan 2 one"
228,228,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-l ,3(2H,3aH)-dione"
229,229,"N-( 1-(1H-pyrrolo[2,3-b]pyridin-3-yl)ethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
230,230,"4-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1H-pyrazol-3(2H)-one"
231,231,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1H-pyrazol-3(2H)-one"
232,232,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(6- azaspiro[3.5]nonan-6-yl)pyrido[4,3-d]pyrimidine"
233,233,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azaspiro[3.5]nonan-1-ol"
234,234,"8-fluoro-4-(2-fluoro-6-azaspiro[3.5]nonan-6-yl)-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
235,235,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azaspiro[3.5]nonan-2-ol"
236,236,"3-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyrrolidine-2,5-dione"
237,237,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N-methylpiperidine-3-sulfonamide"
238,238,"N-(2-(3-amino-1H-1,2,4-triazol-5-yl)ethyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]dpyrimidin-4-amine"
239,239,"2-( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)isothiazolidine 1,1 -dioxide"
240,240,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-(l,2,3,5,6,7-hexahydropyrrolizin-8-ylmethoxy)-4-[3- (sulfamoylamino)piperidin-1-yl]pyrido[4,3-d]pyrimidine"
241,241,"1 -(1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)urea"
242,242,"N-( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)formamide"
243,243,"1-(1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-4-yl)urea"
244,244,"N-( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-4-yl)formamide"
245,245,"4-(7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)-8-fluoro-7-(8-fluoronaphthalen-1- yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
246,246,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6,7,8,9-tetrahydro-5H-pyrido[3,2-c]azepine"
247,247,"8-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy) pyrido[4,3-d]pyrimidin-4-yl)-2-thia-1,3,8-triazaspiro[5.5]undecane 2,2-dioxide"
248,248,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin 3 yl sulfamate"
249,249,"1-(4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)morpholin-2-yl)methanesulfonamide"
250,250,"8-fluoro-7-(8-fluoronaphthalen-]-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3- (methylsulfonyl)azepan-1-yl)pyrido[4,3-d]pyrimidine"
251,251,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3- (methylsulfonyl)azocan-1-yl)pyrido[1,3d]pyrimidinc"
252,252,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2-thia-1,3,7-triazaspiro[4.5]decane 2,2-dioxide"
253,253,"4-(3-(1H-1,2,4-triazol-1-yl)azetidin-1-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2- ((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
254,254,"8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(2-methyl- 7,8-dihydro-4H-pyrazolo[1,5-a][1,4]diazepin-5(6H)-yl)pyrido[4,3-d]pyrimidine"
255,255,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a] [1,4]diazepin-7-ol"
256,256,"1-(2-(( 1-((dimethylamino)methyl)cyclopropyl)methoxy)-8-fluoro-7-(8-fluoronaphthalen-1- yl)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
257,257,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((1-(pyrrolidin-1- ylmethyl)cyclopropyl)methoxy)pyrido[1,3-d]pyrimidin-4-yl)-3-mcthylpipcridin-3-ol"
258,258,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a] [1,4]diazepine-2-carboxamide"
259,259,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N-methyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][1,4]diazepine-2-carboxamide"
260,260,"1 5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][1,4]diazepine-2-carboxamide"
261,261,"(5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)melhoxy)pyrido[4,3-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a] [1,4]diazepin-2-y l)methanol"
262,262,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrblizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2-thia-6-azaspiro[3.5]nonane"
263,263,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N-methyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][1,4] diazepin-2-amine"
264,264,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a] [1,4]diazepin-2-am ine"
265,265,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[1,3d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decane-1,3-dione"
266,266,"6-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,6-diazaspiro[3.6]decan-2-one"
267,267,"7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4, 3-d]pyrimidin-4-yl)-1, 3, 7-triazaspiro[4.6]undecane-2, 4-dione"
268,268,"(R)-( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanol"
269,269,"(4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-2-yl)methanol"
270,270,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepane-6-carboxamide"
271,271,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-(methylsulfonyl)-1,4-oxazepane"
272,272,"10-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy )pyrido[4,3-d]pyrimidin-4-yl)-7-oxa-1, 3, 10-triazaspiro[4.6]undecane-2, 4-dione"
273,273,"(S)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3-carboxamide"
274,274,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydropyrazolo[4,3- c]azepine-2(4H)-carboxamide"
275,275,"N-(5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][.l,4]diazepin-2-yl)acetamide"
276,276,"(5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][1,4]diazepin-2-yl)(morpholino)methanone"
277,277,"azetidin-1-yl(5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][1,4]diazepin-2-yl)methanone"
278,278,"5-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methyl-5,6,7,8-tetrahydro-4H-pyrazolo[1,5- a][1,4]diazepin-2-amine"
279,279,"3 -((8-fluoro-7-(8-fluoronaphthalen- 1 -y l)-2-((hexahydro- 1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)tetrahydrothiophene 1,1-dioxide"
280,280,"(S)-7-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.4]nonan-3-one"
281,281,"1-( 1-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanesulfonamide"
282,282,"7-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione"
283,283,"6-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one"
284,284,"7-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one"
285,285,"1-( 1-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanesulfonamide"
286,286,"7-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decan-3-one"
287,287,"N-((1H-pyrazol-4-yl)methyl)-7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin- 7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
288,288,"6-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one"
289,289,"(4-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-6-yl)methanol"
290,290,"3-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol"
291,291,"4-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol"
292,292,"5-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)tetrahydropyrrolo[3,4-c]pyrrole-1,3(2H,3aH)-dione"
293,293,"7-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4-dione"
294,294,"7-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decan-2-one"
295,295,"4-(3-(l H.-.1 ,2,4-triazol-3-yl)piperidin-1-yl)-7-(8-ethylnaphthalen-1-yl)-8-fluoro-2- ((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine"
296,296,"(3R,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3,5- diol"
297,297,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-(( 1-(pyridin-4-yl)-1H-pyrazol-4-yl)amino)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
298,298,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-(3-(pyridin-3-yl)propoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
299,299,"1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-ol"
300,300,"(R)-7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7triazaspiro[4.5]decan-2-one"
301,301,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((3R,7aS)-3- (hydroxymethyl)tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3- methylpiperidin-3-ol"
302,302,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((3S,7aR)-3- (hydroxymethyl)tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3- methyIpiperidin-3-oI"
303,303,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((3R,7aR)-3- (hydroxymethyl)hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3- methylpiperidin-3-ol"
304,304,"(R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((3S,7aS)-3- (hydroxymethyl)hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3- methylpiperidin-3-ol"
305,305,"(R)-7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2S,7aR)-2- hydroxytetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7- diazaspiro[4.5]decan-3-one"
306,306,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)- 4-(3-(hydroxymethyl)piperidin-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
307,307,"(R)-7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4- dione"
308,308,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (3-(methylsulfonyl)azepan-.l-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
309,309,"5-ethyl-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (3-(methylsulfonyl)azocan-1-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
310,310,"3-((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)azetidine-1-carboxamide"
311,311,"(2R,7aS)-7a-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-4-((R)-3-hydroxy-3- methylpiperidin-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-2-ol"
312,312,"N-( 1-(dimethylamino)propan-2-yl)-7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro- 1-((R)-3-hydroxy-3-methylpiperidin-1-yl)pyrido[1,3-d]pyrimidine-2-carboxamide"
313,313,"((3S,7aR)-7a-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-4-((R)-3-hydroxy-3- methylpiperidin-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-3- yl)methyl dimethylcarbamate"
314,314,"((3S,7aS)-7a-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-4-((R)-3-hydroxy-3- methylpiperidin-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-3- yl)methyl dimethylcarbamate"
315,315,"5-ethyI-6-fluoro-4-(8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)-4- (l,4-oxazepan-4-yl)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"
316,316,"(R)-1-(2-(( 1-((dimethylamino)methyl)cyclopropyl)methoxy)-7-(8-ethyl-7-fluoro-3- hydroxynaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
317,317,"4-(4-(azepan-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
318,318,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-2,7-diazaspiro[4.5]decane-1, 3-dione"
319,319,"(S)-6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(( 1-(pyrrolidin-1- ylmethyl)cyclopropyl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one"
320,320,"(1R,5R,6R)-3-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(( 1-(pyrrolidin-1- ylmethyl)cyclopropyl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-azabicyclo[3.2.1]octan-6-ol"
321,321,"(S)-4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(( 1-(pyrrolidin-1- ylmethyl)cyclopropyl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol"
322,322,"(R)-7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(( 1-(pyrrolidin-1- ylmethyl)cyclopropyl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,7-triazaspiro[4.5]decane-2,4- dione"
323,323,"trans-(2R,4r)-6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6- azaspiro[3.5]nonan-2-ol"
324,324,"cis-(2S,4s)-6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6- azaspiro[3.5]nonan-2-ol"
325,325,"4-(4-(azocan-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
326,326,"5-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-N,N-dimethyl-5,6,7,8-tetrahydro-4H- pyrazolo[1,5-a][1,4]diazepine-2-carboxamide"
