Index,Example,IUPAC
54,54,"1-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
55,55,"1 -(7-(8-ethynylnaphthalen- 1 -yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
56,56,"8-(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-hydroxy-3-methylpiperidin-1- yl)pyrido[4,3-d]pyrimidin-7-yl)-1-naphthonitrile"
57,57,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one"
58,58,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol"
59,59,"(3R,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-I-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3,5-diol"
60,60,"4-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyrrolidin-2-one"
61,61,"4-(4-(2-amino-7,8-dihydro-4H-pyrazolo[l,5-a][l,4]diazepin-5(6H)-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy )pyrido[4, 3-d]pyrimidin-7-yl)-5-ethyl-6- fluoronaphthalen-2-ol"
62,62,"4-(4-(((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol"
63,63,"4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol"
