Example,IUPAC,SMILES
44,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloro-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7ccc(F)c(Cl)c67
45,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
46,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-(trifluoromethyl)cyclopentyl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCC5(CCCC5)C(F)(F)F)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
47,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-propoxypyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CCCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
48,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2,2,2-trifluoroethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCC(F)(F)F)nc4c3F)N5C[C@@H]6CC[C@H](C5)N6
49,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCC45CCCN4CCC5)nc6c(F)c(ncc36)c7cccc8cccc(Cl)c78
50,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-pyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OC[C@@H]5CCCN5)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
51,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-(trifluoromethyl)cyclopropyl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCC5(CC5)C(F)(F)F)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
52,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2,2,3,3-tetrafluoropropoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCC(F)(F)C(F)F)nc4c3F)N5C[C@@H]6CC[C@H](C5)N6
53,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(oxetan-3-ylmethoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC3COC3)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
54,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((hexahydroindolizin-8a(1H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
