Example,IUPAC,SMILES
148,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((1-methyl-1H-benzo[d]imidazol-6-yl)oxy)pyrido[4,3-d]pyrimidine",Cn1cnc2ccc(Oc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78)cc12
149,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((2S,4S)-4-methoxy-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CO[C@H]1C[C@@H](COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)N(C)C1
150,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(imidazo[1,2-a]pyridin-8-ylmethoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCc3cccn4ccnc34)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
151,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(5-chloroisoquinolin-4-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cncc7cccc(Cl)c67
152,"(1R,5R,6R)-3-(2-(azetidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(nc4c(F)c(ncc34)c5cccc6cccc(Cl)c56)N7CCC7
153,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((S)-1-isopropylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",CC(C)N1CCC[C@H]1COc2nc(N3C[C@H]4C[C@@H](O)[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
154,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(4-methyl-4H-1,2,4-triazol-3-yl)ethoxy)pyrido[4,3-d]pyrimidine",Cn1cnnc1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
155,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(3,3,3-trifluoropropoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCC(F)(F)F)nc4c(F)c(ncc34)c5cccc6cccc(Cl)c56
156,"4-(8-fluoro-4-(1-methyl-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3CC4CCC(C)(C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
157,"3-(3-(8-fluoro-7-(3-hydroxynaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-1-yl)propanenitrile bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3CC4CCC(CCC#N)(C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
158,"methyl 3-(8-fluoro-7-(3-hydroxynaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octane-1-carboxylate bis(2,2,2-trifluoroacetate)",COC(=O)C12CCC(CN(C1)c3nc(OC[C@@H]4CCCN4C)nc5c(F)c(ncc35)c6cc(O)cc7ccccc67)N2.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
159,"3-(8-fluoro-7-(3-hydroxynaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octane-1-carboxamide bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3CC4CCC(C3)(N4)C(N)=O)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
160,"4-(4-(1-chloro-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3CC4CCC(Cl)(C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
161,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(3,3-dimethyl-2,3-dihydro-1H-inden-4-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7CCC(C)(C)c67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
162,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2′,3′-dihydrospiro[cyclopropane-1,1′-inden]-7′-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine bis(2,2,2-trifluoroacetate)",Did not work
163,"1-(4-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)piperidin-1-yl)-2-chloroethan-1-one bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Fc1c(ncc2c(nc(OC3CCN(CC3)C(=O)CCl)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
164,"4-((2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)ethyl)carbamoyl)benzenesulfonyl fluoride bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Fc1c(ncc2c(nc(OCCNC(=O)c3ccc(cc3)[S](F)(=O)=O)nc12)N4C[C@@H]5CC[C@H](C4)N5)c6cccc7cccc(Cl)c67
165,"4-(((3R,5S)-5-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl)carbamoyl)benzenesulfonyl fluoride tris(2,2,2-trifluoroacetate)",CN1C[C@@H](C[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)NC(=O)c8ccc(cc8)[S](F)(=O)=O.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
166,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-2-(2-(1-(difluoromethyl)-1H-imidazol-2-yl)ethoxy)-8-fluoropyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCc4nccn4C(F)F)nc5c(F)c(ncc35)c6cccc7cccc(Cl)c67
167,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(2-methyl-1H-imidazol-1-yl)ethoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",Cc1nccn1CCOc2nc(N3C[C@H]4C[C@@H](O)[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
168,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(2-(fluoromethyl)-1H-imidazol-1-yl)ethoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCn4ccnc4CF)nc5c(F)c(ncc35)c6cccc7cccc(Cl)c67
169,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(2-(trifluoromethyl)-1H-imidazol-1-yl)ethoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCn4ccnc4C(F)(F)F)nc5c(F)c(ncc35)c6cccc7cccc(Cl)c67
170,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(1-(fluoromethyl)-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCc4nccn4CF)nc5c(F)c(ncc35)c6cccc7cccc(Cl)c67
171,"(1-(2-((4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)ethyl)-1H-imidazol-2-yl)methanol",OCc1nccn1CCOc2nc(N3CC4CCC(C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
172,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-2-(2-(2-(difluoromethyl)-1H-imidazol-1-yl)ethoxy)-8-fluoropyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",O[C@@H]1C[C@@H]2CN(C[C@H]1N2)c3nc(OCCn4ccnc4C(F)F)nc5c(F)c(ncc35)c6cccc7cccc(Cl)c67
173,"(1R,5R,6R)-3-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octan-6-ol",Cn1ccnc1CCOc2nc(N3C[C@H]4C[C@@H](O)[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
174,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-methyl-2,3-dihydro-1H-inden-4-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CC1CCc2cccc(c3ncc4c(nc(OC[C@@H]5CCCN5C)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7)c12
175,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloro-3-methylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Cc1cc2cccc(Cl)c2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
176,"1-[2-[7-(8-chloro-1-naphthyl)-4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-pyrido[4,3-d]pyrimidin-2-yl]oxyethyl]guanidine",NC(=N)NCCOc1nc(N2CC3CCC(C2)N3)c4cnc(c(F)c4n1)c5cccc6cccc(Cl)c56
177,"1-[3-[7-(8-chloro-1-naphthyl)-4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-pyrido[4,3-d]pyrimidin-2-yl]oxypropyl]guanidine",NC(=N)NCCCOc1nc(N2CC3CCC(C2)N3)c4cnc(c(F)c4n1)c5cccc6cccc(Cl)c56
178,"1-[2-[7-(8-chloro-1-naphthyl)-4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-pyrido[4,3-d]pyrimidin-2-yl]oxyethyl]imidazol-2-amine",Nc1nccn1CCOc2nc(N3CC4CCC(C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
179,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(C#C)c78
180,"7-(8-(1H-1,2,3-triazol-4-yl)naphthalen-1-yl)-4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@H]6CC[C@@H](C5)N6)c7cccc8cccc(c9c[nH]nn9)c78
181,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(ncnc4c3F)N5C[C@@H]6CC[C@H](C5)N6
182,"4-[2-amino-4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-pyrido[4,3-d]pyrimidin-7-yl]naphthalen-2-ol",Nc1nc(N2CC3CCC(C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
183,"4-[4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(methylamino)pyrido[4,3-d]pyrimidin-7-yl]naphthalen-2-ol",CNc1nc(N2CC3CCC(C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
184,"4-[4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(dimethylamino)-8-fluoro-pyrido[4,3-d]pyrimidin-7-yl]naphthalen-2-ol",CN(C)c1nc(N2CC3CCC(C2)N3)c4cnc(c(F)c4n1)c5cc(O)cc6ccccc56
185,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethynylnaphthalen-2-ol",Oc1cc2cccc(C#C)c2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
186,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(naphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8ccccc78
187,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",CCc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
188,"4-(3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynyl-1-naphthyl)-8-fluoro-pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(ncnc12)N3CC4CCC(C3)N4)c5cccc6cccc(C#C)c56
189,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1ccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c2c1C#C
190,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-methyl-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(C)c5n2)c6cc(O)cc7ccccc67
191,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-chloro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(Cl)c5n2)c6cc(O)cc7ccccc67
192,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(2-methyl-1H-imidazol-1-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Cc1nccn1CCOc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
193,"3-(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)prop-2-yn-1-ol",OCC#Cc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
194,"3-(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)prop-2-yn-1-ol",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(C#CCO)c67
195,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-(prop-1-yn-1-yl)naphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",CC#Cc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
196,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2,2-difluorobenzo[d][1,3]dioxol-4-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8OC(F)(F)Oc78
197,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2,3-bis(trifluoromethyl)phenyl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc(c7C(F)(F)F)C(F)(F)F
198,"8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-1-naphthonitrile",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(C#N)c78
199,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-(methylthio)naphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",CSc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
200,"8a-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolo[2,1-c][1,4]oxazine",Fc1c(ncc2c(nc(OCC34CCCN3CCOC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Cl)c78
201,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)-7-(8-vinylnaphthalen-1-yl)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(C=C)c67
202,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-(((2S,4R)-4-(2-methoxyethoxy)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",COCCO[C@@H]1C[C@@H](COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)N(C)C1
203,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(5-chloroisoquinolin-4-yl)-8-fluoro-2-(((2S,7aR)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",F[C@@H]1CN2CCC[C@]2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cncc8cccc(Cl)c78)C1
204,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(5-ethynylisoquinolin-4-yl)-8-fluoro-2-(((2S,7aR)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",F[C@@H]1CN2CCC[C@]2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cncc8cccc(C#C)c78)C1
205,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynylnaphthalen-1-yl)-8-fluoro-2-(((2S,7aR)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",F[C@@H]1CN2CCC[C@]2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(C#C)c78)C1
206,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynylnaphthalen-1-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(C#C)c67
207,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(6-methylnaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidine",CN1CCC[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cc(C)ccc67
208,"3-(((3R,5S)-5-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl)oxy)benzenesulfonyl fluoride tris(2,2,2-trifluoroacetate)",CN1C[C@@H](C[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)Oc8cccc(c8)[S](F)(=O)=O.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
209,"4-(((3R,5S)-5-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl)oxy)benzenesulfonyl fluoride tris(2,2,2-trifluoroacetate)",CN1C[C@@H](C[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)Oc8ccc(cc8)[S](F)(=O)=O.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
210,"3 -(((2R,3S)-2-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl)oxy)benzenesulfonyl fluoride tris(2,2,2-trifluoroacetate)",CN1CC[C@H](Oc2cccc(c2)[S](F)(=O)=O)[C@H]1COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
211,"3-(((3R,5S)-5-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl)carbamoyl)benzenesulfonyl fluoride tris(2,2,2-trifluoroacetate)",CN1C[C@@H](C[C@H]1COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)NC(=O)c8cccc(c8)[S](F)(=O)=O.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
212,"4-((2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-hydroxynaphthalen-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)ethyl)carbamoyl)benzenesulfonyl fluoride bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCNC(=O)c5ccc(cc5)[S](F)(=O)=O)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
213,"3-((2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(3-hydroxynaphthalen-1-yl)pyrido[4,3-d]pyrimidin-2-yl)oxy)ethyl)carbamoyl)benzenesulfonyl fluoride bis(2,2,2-trifluoroacetate)",OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCCNC(=O)c5cccc(c5)[S](F)(=O)=O)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
214,"3-(8-fluoro-7-(3-hydroxynaphthalen-1-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3,8-diazabicyclo[3.2.1]octane-1-carbaldehyde",CN1CCC[C@H]1COc2nc(N3CC4CCC(C3)(N4)C=O)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67
